"name","latitude","longitude","city","locale","in_state_tuition","out_of_state_tuition","type","homepage","graduation_rate","retention_rate","admission_rate","average_student_debt","salary_ten","salary_twentyfive","salary_seventyfive","salary_ninety","drr_oneyr","drr_threeyr","drr_fiveyr","drr_sevenyr"
"Abilene Christian University",32.4692,-99.7095,"Abilene",12,28350.0,28350.0,2,"www.acu.edu",0.5637,0.7941,0.4894,26237.5,8700.0,19000.0,44400.0,57900.0,0.859569,0.847839,0.843288,0.875567
"Abraham Baldwin Agricultural College",31.4819,-83.5283,"Tifton",32,3848.0,11516.0,1,"www.abac.edu",0.1581,0.604,0.709,13500.0,7800.0,16000.0,37900.0,50300.0,0.591137,0.588882,0.592025,0.692868
"Adelphi University",40.7214,-73.6533,"Garden City",21,30800.0,30800.0,2,"www.adelphi.edu/",0.6251,0.8112,0.6814,25000.0,12200.0,26800.0,69400.0,90800.0,0.854906,0.873629,0.88934,0.906363
"Adrian College",41.8984,-84.0599,"Adrian",32,30758.0,30758.0,2,"www.adrian.edu",0.5445,0.5811,0.5628,27000.0,9900.0,16300.0,39000.0,49600.0,0.845703,0.807339,0.799117,0.859375
"Adventist University of Health Sciences",28.5761,-81.3677,"Orlando",12,11830.0,11830.0,2,"www.adu.edu",0.3953,0.7143,0.1336,20730.0,14300.0,30200.0,67200.0,84600.0,0.813481,0.840851,0.847877,0.872483
"Agnes Scott College",33.77,-84.2956,"Decatur",21,34788.0,34788.0,2,"www.agnesscott.edu",0.7202,0.8276,0.6687,27000.0,8200.0,15500.0,38300.0,54700.0,0.833333,0.833333,0.814685,0.903683
"Akron Institute of Herzing University",41.0282,-81.4931,"Akron",21,10800.0,10800.0,3,"WWW.AKRONINSTITUTE.COM",0.3019,1.0,0.75,22822.0,7200.0,16800.0,42200.0,58300.0,0.474006,0.474266,0.582599,0.678628
"Alabama A & M University",34.7834,-86.5685,"Normal",12,7182.0,12774.0,1,"www.aamu.edu/",0.2914,0.6314,0.8989,33611.5,4500.0,12100.0,35400.0,51400.0,0.381857,0.444714,0.491894,0.617647
"Alabama State University",32.3643,-86.2957,"Montgomery",12,8720.0,15656.0,1,"www.alasu.edu/email/index.aspx",0.2517,0.6219,0.5125,33452.0,4300.0,10900.0,29500.0,39800.0,0.258805,0.331199,0.38563,0.533038
"Alaska Pacific University",61.1912,-149.804,"Anchorage",11,29810.0,29810.0,2,"www.alaskapacific.edu",0.3902,0.6667,0.3745,25125.0,8200.0,19600.0,54300.0,68900.0,0.801843,0.76824,0.860696,0.838565
