"school","state_code"
"University of Alabama at Birmingham",1
"The University of Alabama",1
"Auburn University",1
"Birmingham Southern College",1
"Samford University",1
"Spring Hill College",1
"Arizona State University-Tempe",4
"University of Arizona",4
"Embry-Riddle Aeronautical University-Prescott",4
"University of Arkansas",5
"Harding University",5
"Hendrix College",5
"John Brown University",5
"Ouachita Baptist University",5
"Art Center College of Design",6
"Azusa Pacific University",6
"Biola University",6
"California Baptist University",6
"California College of the Arts",6
"California Lutheran University",6
"California Polytechnic State University-San Luis Obispo",6
"California State University-Stanislaus",6
"California State Polytechnic University-Pomona",6
"California State University-Chico",6
"California State University-Fullerton",6
"California State University-Long Beach",6
"University of California-Berkeley",6
"University of California-Davis",6
"University of California-Irvine",6
"University of California-Los Angeles",6
"University of California-Riverside",6
"University of California-San Diego",6
"University of California-Santa Barbara",6
"University of California-Santa Cruz",6
"California Institute of the Arts",6
"California Maritime Academy",6
"Chapman University",6
"Concordia University-Irvine",6
"Dominican University of California",6
"Fashion Institute of Design & Merchandising-Los Angeles",6
"Fashion Institute of Design & Merchandising-San Francisco",6
"Fresno Pacific University",6
"Life Pacific College",6
"University of La Verne",6
"Laguna College of Art and Design",6
"The Master's College and Seminary",6
"Loyola Marymount University",6
"Mills College",6
"Mount St Mary's College",6
"Occidental College",6
"Otis College of Art and Design",6
"University of the Pacific",6
"Pepperdine University",6
"Pitzer College",6
"Point Loma Nazarene University",6
"University of Redlands",6
"San Diego State University",6
"University of San Diego",6
"University of San Francisco",6
"William Jessup University",6
"Santa Clara University",6
"Saint Mary's College of California",6
"Sonoma State University",6
"Vanguard University of Southern California",6
"University of Southern California",6
"Whittier College",6
"University of Colorado Boulder",8
"Colorado School of Mines",8
"Colorado State University-Fort Collins",8
"University of Denver",8
"Regis University",8
"Albertus Magnus College",9
"Central Connecticut State University",9
"Connecticut College",9
"University of Connecticut",9
"Eastern Connecticut State University",9
"Fairfield University",9
"University of Hartford",9
"University of New Haven",9
"Quinnipiac University",9
"Sacred Heart University",9
"University of Saint Joseph",9
"St Vincent's College",9
"Trinity College",9
"Wesleyan University",9
"Yale University",9
"University of Delaware",10
"American University",11
"Catholic University of America",11
"Corcoran College of Art and Design",11
"George Washington University",11
"Georgetown University",11
"Howard University",11
"Bethune-Cookman University",12
"University of Central Florida",12
"Clearwater Christian College",12
"Eckerd College",12
"Embry-Riddle Aeronautical University-Daytona Beach",12
"Flagler College-St Augustine",12
"Florida Institute of Technology",12
"Florida International University",12
"Florida Southern College",12
"Florida State University",12
"University of Florida",12
"Keiser University-Ft Lauderdale",12
"University of Miami",12
"Ringling College of Art and Design",12
"Rollins College",12
"University of South Florida-Main Campus",12
"Stetson University",12
"The University of Tampa",12
"Agnes Scott College",13
"Berry College",13
"Covenant College",13
"Emory University",13
"Georgia Institute of Technology-Main Campus",13
"Georgia College and State University",13
"Georgia Southern University",13
"Georgia State University",13
"University of Georgia",13
"Mercer University",13
"Morehouse College",13
"Oglethorpe University",13
"Savannah College of Art and Design",13
"Spelman College",13
"Wesleyan College",13
"University of Hawaii at Manoa",15
"University of Idaho",16
"The College of Idaho",16
"Brigham Young University-Idaho",16
"School of the Art Institute of Chicago",17
"Augustana College",17
"Aurora University",17
"Bradley University",17
"University of Chicago",17
"Concordia University-Chicago",17
"DePaul University",17
"Eastern Illinois University",17
"Elmhurst College",17
"Eureka College",17
"Greenville College",17
"University of Illinois at Chicago",17
"Benedictine University",17
"University of Illinois at Urbana-Champaign",17
"Illinois Wesleyan University",17
"Illinois College",17
"Illinois Institute of Technology",17
"Illinois State University",17
"Judson University",17
"Knox College",17
"Lake Forest College",17
"Lewis University",17
"Loyola University Chicago",17
"Millikin University",17
"Monmouth College",17
"North Central College",17
"North Park University",17
"Northern Illinois University",17
"Northwestern University",17
"Olivet Nazarene University",17
"Quincy University",17
"Dominican University",17
"University of St Francis",17
"Southern Illinois University-Edwardsville",17
"Trinity Christian College",17
"Western Illinois University",17
"Wheaton College",17
"Anderson University",18
"Ball State University",18
"Bethel College-Indiana",18
"Butler University",18
"DePauw University",18
"Earlham College",18
"University of Evansville",18
"Franklin College",18
"Goshen College",18
"Grace College and Theological Seminary",18
"Hanover College",18
"Huntington University",18
"University of Indianapolis",18
"Indiana University-Bloomington",18
"International Business College-Fort Wayne",18
"Marian University",18
"Marian University",18
"Indiana Wesleyan University",18
"University of Notre Dame",18
"Oakland City University",18
"Rose-Hulman Institute of Technology",18
"University of Saint Francis-Fort Wayne",18
"Saint Mary-of-the-Woods College",18
"Saint Mary's College",18
"Taylor University",18
"Trine University",18
"Valparaiso University",18
"Buena Vista University",19
"Central College",19
"Clarke University",19
"Coe College",19
"Cornell College",19
"Dordt College",19
"Drake University",19
"Grinnell College",19
"Iowa State University",19
"University of Iowa",19
"Loras College",19
"Luther College",19
"Morningside College",19
"Mount Mercy University",19
"University of Northern Iowa",19
"Northwestern College",19
"Saint Ambrose University",19
"Simpson College",19
"Wartburg College",19
"Baker University",20
"Benedictine College",20
"Bethel College-North Newton",20
"Central Christian College of Kansas",20
"University of Kansas",20
"Newman University",20
"Kansas State University",20
"MidAmerica Nazarene University",20
"Pittsburg State University",20
"University of Saint Mary",20
"Tabor College",20
"Asbury University",21
"Bellarmine University",21
"Berea College",21
"Georgetown College",21
"University of Kentucky",21
"University of Louisville",21
"Midway College",21
"Murray State University",21
"Thomas More College",21
"Transylvania University",21
"Centenary College of Louisiana",22
"Louisiana State University and Agricultural & Mechanical College",22
"Loyola University New Orleans",22
"Tulane University of Louisiana",22
"Colby College",23
"University of Maine at Farmington",23
"University of Maine",23
"Maine Maritime Academy",23
"University of New England",23
"Saint Joseph's College of Maine",23
"Unity College",23
"Goucher College",24
"Hood College",24
"Johns Hopkins University",24
"Loyola University Maryland",24
"University of Maryland-Baltimore County",24
"University of Maryland-College Park",24
"Maryland Institute College of Art",24
"Mount St Mary's University",24
"Notre Dame of Maryland University",24
"Salisbury University",24
"St Mary's College of Maryland",24
"St John's College",24
"Towson University",24
"Stevenson University",24
"Washington College",24
"McDaniel College",24
"Assumption College",25
"Bay Path College",25
"Bentley University",25
"Boston College",25
"The Boston Conservatory",25
"Boston University",25
"Brandeis University",25
"Bridgewater State University",25
"Clark University",25
"Eastern Nazarene College",25
"Emerson College",25
"Endicott College",25
"Fitchburg State University",25
"Framingham State University",25
"Gordon College",25
"Hampshire College",25
"Harvard University",25
"College of the Holy Cross",25
"Lasell College",25
"University of Massachusetts-Lowell",25
"University of Massachusetts-Amherst",25
"MCPHS University",25
"Massachusetts College of Art and Design",25
"Massachusetts Institute of Technology",25
"Massachusetts Maritime Academy",25
"Merrimack College",25
"Mount Holyoke College",25
"School of the Museum of Fine Arts-Boston",25
"Massachusetts College of Liberal Arts",25
"Northeastern University",25
"College of Our Lady of the Elms",25
"Simmons College",25
"Smith College",25
"Springfield College",25
"Stonehill College",25
"Suffolk University",25
"Tufts University",25
"Wentworth Institute of Technology",25
"Wentworth Institute of Technology",25
"Wentworth Institute of Technology",25
"Wentworth Institute of Technology",25
"Western New England University",25
"Westfield State University",25
"Wheaton College",25
"Wheelock College",25
"Worcester Polytechnic Institute",25
"Adrian College",26
"Albion College",26
"Alma College",26
"Andrews University",26
"Aquinas College",26
"Calvin College",26
"Central Michigan University",26
"College for Creative Studies",26
"University of Detroit Mercy",26
"Kettering University",26
"Grand Valley State University",26
"Hope College",26
"Kalamazoo College",26
"University of Michigan-Ann Arbor",26
"Michigan State University",26
"Michigan Technological University",26
"University of Michigan-Dearborn",26
"Northwood University-Michigan",26
"Spring Arbor University",26
"Western Michigan University",26
"Augsburg College",27
"Bethel University",27
"Concordia College at Moorhead",27
"Gustavus Adolphus College",27
"Hamline University",27
"University of Minnesota-Twin Cities",27
"Minneapolis College of Art and Design",27
"Herzing University-Minneapolis",27
"University of Minnesota-Duluth",27
"University of Minnesota-Morris",27
"University of Northwestern-St Paul",27
"Oak Hills Christian College",27
"Saint Mary's University of Minnesota",27
"St Olaf College",27
"Crown College",27
"The College of Saint Scholastica",27
"University of St Thomas",27
"St Catherine University",27
"Winona State University",27
"Millsaps College",28
"University of Mississippi",28
"Mississippi College",28
"Mississippi State University",28
"William Carey University",28
"Cox College",29
"University of Central Missouri",29
"Cottey College",29
"Drury University",29
"Evangel University",29
"Hannibal-LaGrange University",29
"Kansas City Art Institute",29
"Maryville University of Saint Louis",29
"University of Missouri-Columbia",29
"University of Missouri-Kansas City",29
"Missouri University of Science and Technology",29
"Truman State University",29
"Northwest Missouri State University",29
"Rockhurst University",29
"Saint Louis University",29
"Southwest Baptist University",29
"Stephens College",29
"Missouri State University-Springfield",29
"Washington University in St Louis",29
"Webster University",29
"Westminster College",29
"William Jewell College",29
"William Woods University",29
"Carroll College",30
"Concordia University-Nebraska",31
"Creighton University",31
