,LATITUDE,LONGITUDE,CITY,LOCALE,TUITIONFEE_IN,TUITIONFEE_OUT,CONTROL,INSTURL,C150_4,RET_FT4,ADM_RATE,GRAD_DEBT_MDN,pct10_earn_wne_p6,pct25_earn_wne_p6,pct75_earn_wne_p6,pct90_earn_wne_p6,RPY_1YR_RT,RPY_3YR_RT,RPY_5YR_RT,RPY_7YR_RT
Alabama A & M University,34.7834,-86.5685,Normal,12,7182,12774,1,www.aamu.edu/,0.2914,0.6314,0.8989,33611.5,4500,12100,35400,51400,0.38185654,0.44471387,0.491894396,0.617647059
University of Alabama at Birmingham,33.5022,-86.8092,Birmingham,12,7206,16398,1,www.uab.edu,0.5377,0.8016,0.8673,23117,9700,20200,47900,66200,0.745397904,0.756266667,0.779281931,0.812947799
Amridge University,32.3626,-86.174,Montgomery,12,6870,6870,2,www.amridgeuniversity.edu,0.6667,0.375,NULL,26995,7300,16800,51000,75400,0.643835616,0.647249191,0.569395018,0.760517799
University of Alabama in Huntsville,34.7228,-86.6384,Huntsville,12,9192,21506,1,www.uah.edu,0.4835,0.8098,0.8062,24738,9100,19300,56100,70300,0.735625705,0.781997919,0.785966981,0.822929172
Alabama State University,32.3643,-86.2957,Montgomery,12,8720,15656,1,www.alasu.edu/email/index.aspx,0.2517,0.6219,0.5125,33452,4300,10900,29500,39800,0.258804907,0.331198862,0.38562999,0.533038255
The University of Alabama,33.2144,-87.5458,Tuscaloosa,13,9450,23950,1,www.ua.edu/,0.6665,0.87,0.5655,24000,9800,20000,45300,61600,0.761660978,0.8139413,0.828183213,0.839720415
Central Alabama Community College,32.9244,-85.9465,Alexander City,32,4200,7500,1,www.cacc.edu,NULL,NULL,NULL,PrivacySuppressed,4800,12500,35000,47500,0.48783314,0.438401776,0.488861386,0.557803468
Athens State University,34.8056,-86.9651,Athens,31,NULL,NULL,1,www.athens.edu,NULL,NULL,NULL,18832,9900,19900,43400,61200,0.754538853,0.767649075,0.786516854,0.847346939
Auburn University at Montgomery,32.3699,-86.1774,Montgomery,12,8750,24950,1,www.aum.edu,0.2705,0.6321,0.8371,21791,8800,16500,40300,55900,0.602880658,0.628856194,0.643290999,0.712289157
Auburn University,32.6002,-85.4924,Auburn University,13,9852,26364,1,www.auburn.edu,0.6792,0.8946,0.8274,22250,11800,22600,50200,67000,0.867395437,0.882455377,0.880579297,0.912371134
