"name","latitude","longitude","city","locale","in_state_tuition","out_of_state_tuition","type","homepage","graduation_rate","retention_rate","admission_rate","average_student_debt","salary_ten","salary_twentyfive","salary_seventyfive","salary_ninety","drr_oneyr","drr_threeyr","drr_fiveyr","drr_sevenyr"
"A & W Healthcare Educators",30.0275,-90.0116,"New Orleans",11,0.0,0.0,3,"www.awhealthedu.com",0.0,0.0,0.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A T Still University of Health Sciences",40.1936,-92.5892,"Kirksville",33,0.0,0.0,2,"WWW.ATSU.EDU",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Aaniiih Nakoda College",48.5331,-108.784,"Harlem",43,2410.0,2410.0,1,"www.ancollege.edu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Aaron's Academy of Beauty",38.6114,-76.902,"Waldorf",22,0.0,0.0,3,"www.aaronsacademy.com",0.0,0.0,0.0,6710.0,0.0,0.0,0.0,0.0,0.450704,0.405405,0.627119,0.694915
"ABC Beauty Academy",32.9299,-96.6832,"Garland",21,0.0,0.0,3,"www.abcbeautyacademy.webs.com",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ABC Beauty College Inc",34.1223,-93.0816,"Arkadelphia",32,0.0,0.0,3,"www.abc-beautycollege.com",0.0,0.0,0.0,16500.0,0.0,0.0,0.0,0.0,0.319444,0.236842,0.4,0.480769
"Abcott Institute",42.4454,-83.2103,"Southfield",13,0.0,0.0,3,"www.abcott.edu",0.0,0.0,0.0,6333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Abdill Career College Inc",42.3281,-122.864,"Medford",13,0.0,0.0,3,"www.abdill.com",0.0,0.0,0.0,9500.0,0.0,0.0,0.0,0.0,0.576159,0.540373,0.5375,0.632353
"Abilene Christian University",32.4692,-99.7095,"Abilene",12,28350.0,28350.0,2,"www.acu.edu",0.5637,0.7941,0.4894,26237.5,8700.0,19000.0,44400.0,57900.0,0.859569,0.847839,0.843288,0.875567
"Abington Memorial Hospital Dixon School of Nursing",40.1611,-75.1301,"Willow Grove",21,0.0,0.0,2,"www.amhdixonson.org",0.0,0.0,0.0,16035.0,0.0,0.0,0.0,0.0,0.883495,0.883333,0.0,0.871795
"Abraham Baldwin Agricultural College",31.4819,-83.5283,"Tifton",32,3848.0,11516.0,1,"www.abac.edu",0.1581,0.604,0.709,13500.0,7800.0,16000.0,37900.0,50300.0,0.591137,0.588882,0.592025,0.692868
"Academia Serrant Inc",18.0063,-66.6143,"Ponce",12,0.0,0.0,3,"www.serrant.edu",0.0,0.0,0.0,0.0,1600.0,6400.0,20700.0,30500.0,0.0,0.0,0.0,0.0
"Academy College",44.8615,-93.2594,"Minneapolis",13,18680.0,18680.0,3,"www.academycollege.edu",0.8,0.0,0.0,36387.0,4700.0,12500.0,44100.0,61000.0,0.439791,0.48,0.617021,0.712195
"Academy Di Capelli-School of Cosmetology",41.4899,-72.8069,"Wallingford",21,0.0,0.0,3,"www.academydicapelli.com",0.0,0.0,0.0,13833.0,0.0,0.0,0.0,0.0,0.0,0.785714,0.589744,0.0
"Academy di Firenze",0.0,0.0,"Jerome",33,0.0,0.0,3,"academydifirenze.com",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Academy for Careers and Technology",34.1877,-79.3388,"Mullins",41,0.0,0.0,1,"www.mcact.org",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Academy for Five Element Acupuncture",29.6501,-82.322,"Gainesville",12,0.0,0.0,2,"www.acupuncturist.edu",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
