"name","latitude","longitude","city","locale","in_state_tuition","out_of_state_tuition","type","homepage","graduation_rate","retention_rate","admission_rate","average_student_debt","salary_ten","salary_twentyfive","salary_seventyfive","salary_ninety","drr_oneyr","drr_threeyr","drr_fiveyr","drr_sevenyr"
"Abilene Christian University",32.4692,-99.7095,"Abilene",12,28350.0,28350.0,2,"www.acu.edu",0.5637,0.7941,0.4894,26237.5,8700.0,19000.0,44400.0,57900.0,0.859569,0.847839,0.843288,0.875567
"Adelphi University",40.7214,-73.6533,"Garden City",21,30800.0,30800.0,2,"www.adelphi.edu/",0.6251,0.8112,0.6814,25000.0,12200.0,26800.0,69400.0,90800.0,0.854906,0.873629,0.88934,0.906363
"Adrian College",41.8984,-84.0599,"Adrian",32,30758.0,30758.0,2,"www.adrian.edu",0.5445,0.5811,0.5628,27000.0,9900.0,16300.0,39000.0,49600.0,0.845703,0.807339,0.799117,0.859375
"Agnes Scott College",33.77,-84.2956,"Decatur",21,34788.0,34788.0,2,"www.agnesscott.edu",0.7202,0.8276,0.6687,27000.0,8200.0,15500.0,38300.0,54700.0,0.833333,0.833333,0.814685,0.903683
"Albertus Magnus College",41.3325,-72.9238,"New Haven",12,28378.0,28378.0,2,"www.albertus.edu",0.6063,0.9256,0.6821,29000.0,9800.0,25100.0,59100.0,82200.0,0.735889,0.751491,0.743902,0.865539
"Albion College",42.2446,-84.7461,"Albion",31,36051.0,36051.0,2,"www.albion.edu",0.736,0.8056,0.5639,27000.0,8000.0,17900.0,43400.0,59800.0,0.900952,0.922942,0.917323,0.942492
"Albright College",40.3602,-75.9102,"Reading",13,36660.0,36660.0,2,"www.albright.edu",0.5371,0.7146,0.6231,28910.0,11300.0,25000.0,49200.0,66100.0,0.848249,0.878428,0.892186,0.918943
"Alfred University",42.2559,-77.7886,"Alfred",33,25430.0,25430.0,2,"www.alfred.edu",0.6216,0.7463,0.698,27000.0,9300.0,16900.0,43200.0,59400.0,0.88101,0.872891,0.879575,0.899232
"Allegheny College",41.6481,-80.1469,"Meadville",32,39100.0,39100.0,2,"www.allegheny.edu",0.7917,0.8545,0.6487,28800.0,11100.0,20400.0,46000.0,59100.0,0.93049,0.924823,0.941176,0.955429
"Alma College",43.3792,-84.6701,"Alma",32,32660.0,32660.0,2,"www.alma.edu",0.6118,0.7885,0.6791,27000.0,8700.0,16300.0,40900.0,55000.0,0.887324,0.885981,0.904863,0.926247
"Alvernia University",40.3102,-75.9382,"Reading",13,29060.0,29060.0,2,"www.alvernia.edu",0.5132,0.7105,0.7762,27000.0,12700.0,23600.0,47800.0,65500.0,0.833162,0.818268,0.831183,0.849711
"American Musical and Dramatic Academy",40.7801,-73.9822,"New York",11,31820.0,31820.0,2,"www.amda.edu",0.5436,0.8305,0.2603,16000.0,4300.0,11000.0,30600.0,42800.0,0.706956,0.693617,0.68815,0.782007
"American University",38.9378,-77.0901,"Washington",11,40649.0,40649.0,2,"WWW.AMERICAN.EDU",0.7989,0.8821,0.4312,23500.0,11600.0,27900.0,57300.0,73600.0,0.91206,0.927662,0.927718,0.933083
"Anderson University",40.1122,-85.6623,"Anderson",13,26280.0,26280.0,2,"www.anderson.edu",0.5678,0.734,0.5545,27999.0,8800.0,18500.0,40500.0,54300.0,0.873162,0.861859,0.834369,0.900593
"Andrews University",41.9633,-86.3559,"Berrien Springs",31,25470.0,25470.0,2,"www.andrews.edu",0.6036,0.7859,0.3751,29500.0,5700.0,16800.0,45300.0,60800.0,0.650558,0.773399,0.791506,0.855148
