District of Columbia,11,45877,97
Connecticut,9,39373,94.76
New Jersey,34,37288,90.559
Massachusetts,25,36593,89.151
Maryland,24,36338,88.633
New Hampshire,33,34691,85.272
Virginia,51,34052,83.961
New York,36,33095,81.99
North Dakota,38,33071,81.94
Alaska,2,33062,81.922
Minnesota,27,32638,81.045
Colorado,8,32357,80.464
Washington,53,31841,79.393
Rhode Island,44,30830,77.286
Delaware,10,30488,76.571
California,6,30441,76.473
Illinois,17,30417,76.423
Hawaii,15,29736,74.994
Wyoming,56,29698,74.914
Pennsylvania,42,29220,73.908
Vermont,50,29178,73.82
Iowa,19,28361,72.093
Wisconsin,55,28213,71.779
Maine,23,27978,71.281
Kansas,20,27870,71.051
Oregon,41,27646,70.575
Nebraska,31,27446,70.15
Texas,48,27125,69.465
South Dakota,46,26959,69.111
Ohio,39,26937,69.064
Michigan,26,26613,68.371
Florida,12,26582,68.304
Missouri,29,26126,67.327
Montana,30,25989,67.032
North Carolina,37,25774,66.57
Nevada,32,25773,66.568
Arizona,4,25715,66.443
Georgia,13,25615,66.227
Oklahoma,40,25229,65.395
Indiana,18,25140,65.202
Tennessee,47,24922,64.731
Utah,49,24877,64.633
Louisiana,22,24800,64.467
South Carolina,37,24596,64.024
Idaho,16,23938,62.594
Kentucky,21,23684,62.04
New Mexico,35,23683,62.038
Alabama,1,23606,61.87
Arkansas,5,22883,60.286
West Virginia,54,22714,59.915
Mississippi,28,21036,56.203
